IUCR_Code,IUCR_cat,HOURLYTemp,ID-count
10,MOTOR VEHICLE THEFT,35,528
10,MOTOR VEHICLE THEFT,36,546
10,MOTOR VEHICLE THEFT,37,570
10,MOTOR VEHICLE THEFT,38,585
10,MOTOR VEHICLE THEFT,39,590
10,MOTOR VEHICLE THEFT,40,601
10,MOTOR VEHICLE THEFT,41,486
10,MOTOR VEHICLE THEFT,42,504
10,MOTOR VEHICLE THEFT,43,522
10,MOTOR VEHICLE THEFT,44,489
10,MOTOR VEHICLE THEFT,45,497
10,MOTOR VEHICLE THEFT,46,462
10,MOTOR VEHICLE THEFT,47,535
10,MOTOR VEHICLE THEFT,48,523
10,MOTOR VEHICLE THEFT,49,460
10,MOTOR VEHICLE THEFT,50,517
10,MOTOR VEHICLE THEFT,51,391
10,MOTOR VEHICLE THEFT,52,434
10,MOTOR VEHICLE THEFT,53,371
10,MOTOR VEHICLE THEFT,54,396
10,MOTOR VEHICLE THEFT,55,438
10,MOTOR VEHICLE THEFT,56,447
10,MOTOR VEHICLE THEFT,57,533
10,MOTOR VEHICLE THEFT,58,375
10,MOTOR VEHICLE THEFT,59,427
10,MOTOR VEHICLE THEFT,60,544
10,MOTOR VEHICLE THEFT,61,493
10,MOTOR VEHICLE THEFT,62,518
10,MOTOR VEHICLE THEFT,63,566
10,MOTOR VEHICLE THEFT,64,540
10,MOTOR VEHICLE THEFT,65,674
10,MOTOR VEHICLE THEFT,66,582
10,MOTOR VEHICLE THEFT,67,645
10,MOTOR VEHICLE THEFT,68,706
10,MOTOR VEHICLE THEFT,69,647
10,MOTOR VEHICLE THEFT,70,728
10,MOTOR VEHICLE THEFT,71,649
10,MOTOR VEHICLE THEFT,72,682
10,MOTOR VEHICLE THEFT,73,684
10,MOTOR VEHICLE THEFT,74,647
10,MOTOR VEHICLE THEFT,75,507
10,MOTOR VEHICLE THEFT,76,532
10,MOTOR VEHICLE THEFT,77,499
10,MOTOR VEHICLE THEFT,78,499
10,MOTOR VEHICLE THEFT,79,451
10,MOTOR VEHICLE THEFT,80,354
10,MOTOR VEHICLE THEFT,81,353
10,MOTOR VEHICLE THEFT,82,336
10,MOTOR VEHICLE THEFT,83,220
10,MOTOR VEHICLE THEFT,84,212
10,MOTOR VEHICLE THEFT,85,199
10,MOTOR VEHICLE THEFT,86,151
10,MOTOR VEHICLE THEFT,87,132
10,MOTOR VEHICLE THEFT,88,147
10,MOTOR VEHICLE THEFT,89,75
10,MOTOR VEHICLE THEFT,90,72
10,MOTOR VEHICLE THEFT,91,40
10,MOTOR VEHICLE THEFT,92,20
